id,metro_city,metro_state,population,lat,lon,img,rank_Q22017,rank_Q32017,rank_Q42017,rank_Q12018,rank_change_Q22017,rank_change_Q32017,rank_change_Q42017,rank_change_Q12018,net_change_Q22017,net_change_Q32017,net_change_Q42017,net_change_Q12018
AustinTX,Austin,TX,2056405,30.267605,-97.742984,wp-content/uploads/2018/05/Austin.jpg,4,6,8,1,-1,-2,-2,7,1.217138117,0.728736856,0.268180322,0.506494047
MiamiFL,Miami,FL,6066387,25.728985,-80.237419,wp-content/uploads/2018/05/Miami.jpg,1,16,16,2,6,-15,0,14,1.306036444,0.563439065,0.072737679,0.29431108
AtlantaGA,Atlanta,GA,5789700,33.748315,-84.391109,wp-content/uploads/2018/05/Atlanta.jpg,12,10,10,3,0,2,0,7,0.981842332,0.644339496,0.221264959,0.256364728
PhoenixAZ,Phoenix,AZ,4661537,33.44826,-112.075774,wp-content/uploads/2018/05/Phoenix.jpg,8,3,2,4,-2,5,1,-2,1.061579679,0.898798292,0.464064382,0.254175216
CharlotteNC,Charlotte,NC,2474314,35.22269,-80.837764,wp-content/uploads/2018/05/Charlotte.jpg,17,20,25,5,-7,-3,-5,20,0.841911834,0.384665175,-0.056810893,0.251125836
JacksonvilleFL,Jacksonville,FL,1478212,30.33147,-81.656219,wp-content/uploads/2018/05/Jacksonville.jpg,13,11,26,6,2,2,-15,20,0.978746408,0.630080729,-0.083335648,0.245757832
AlbuquerqueNM,Albuquerque,NM,909906,35.08418,-106.648639,wp-content/uploads/2018/05/Albuquerque.jpg,40,21,27,7,0,19,-6,20,0.418536635,0.345708703,-0.104032498,0.177236158
TulsaOK,Tulsa,OK,987201,36.149745,-95.993334,wp-content/uploads/2018/05/Tulsa.jpg,26,12,11,8,2,14,1,3,0.577553944,0.613132006,0.212554269,0.166253734
RochesterNY,Rochester,NY,1078879,43.16103,-77.610922,wp-content/uploads/2018/05/Rochester.jpg,41,1,31,9,-3,40,-30,22,0.416023332,1.542000341,-0.133891213,0.141969599
New OrleansLA,New Orleans,LA,1268883,29.9564,-90.0758,wp-content/uploads/2018/05/NewOrleans.jpg,32,36,35,10,-2,-4,1,25,0.526133392,0.046891119,-0.199196987,0.095953295
HoustonTX,Houston,TX,6772470,29.76045,-95.369784,wp-content/uploads/2018/05/Houston.jpg,3,2,6,11,-2,1,-4,-5,1.22787242,1.055224828,0.281823743,0.095649993
NashvilleTN,Nashville,TN,1865298,36.162664,-86.781602,wp-content/uploads/2018/05/Nashville.jpg,18,18,7,12,4,0,11,-5,0.841593417,0.538703413,0.28111073,0.073033497
OrlandoFL,Orlando,FL,2441257,28.538335,-81.379236,wp-content/uploads/2018/05/Orlando.jpg,5,9,4,13,4,-4,5,-9,1.120844918,0.658336924,0.386909835,0.051279894
PortlandME,Portland,ME,529657,43.661471,-70.255326,wp-content/uploads/2018/05/PortlandME.jpg,50,45,15,14,-1,5,30,1,0.0968523,-0.174930631,0.090481361,0.043644029
DenverCO,Denver,CO,2853077,39.74001,-104.992259,wp-content/uploads/2018/05/Denver.jpg,11,7,17,15,0,4,-10,2,1.034294321,0.710423491,0.071413732,0.019196375
